network,registered_country_geoname_id
1.0.0.0/24,2077456
1.0.1.0/24,1814991
1.0.4.0/22,2077456
1.0.8.0/21,1814991
1.0.16.0/20,1861060
1.0.32.0/19,1814991
1.0.64.0/18,1861060
1.0.128.0/19,1605651
1.1.0.0/24,1814991
1.1.1.0/32,2077456
1.1.2.0/23,1814991
1.1.64.0/18,1861060
1.1.128.0/17,1605651
1.2.0.0/23,1814991
1.2.3.0/24,2077456
1.2.4.0/22,1814991
1.2.128.0/17,1605651
1.3.0.0/16,1814991
1.4.0.0/24,2077456
1.4.1.0/24,1814991
1.4.128.0/17,1605651
1.5.0.0/16,1861060
1.6.0.0/15,1269750
1.8.0.0/16,1814991
1.9.0.0/16,1733045
1.10.0.0/21,1814991
1.10.10.0/24,1269750
1.10.11.0/24,1814991
1.10.128.0/17,1605651
1.11.0.0/16,1835841
1.12.0.0/14,1814991
1.16.0.0/14,1835841
1.20.0.0/16,1605651
1.21.0.0/16,1861060
1.22.0.0/15,1269750
1.24.0.0/13,1814991
1.32.0.0/17,1733045
1.32.128.0/18,1880251
1.33.0.0/16,1861060
1.34.0.0/32,1668284
1.36.0.0/16,1819730
1.37.0.0/16,1694008
1.38.0.0/15,1269750
1.40.0.0/14,2077456
1.45.0.0/16,1814991
1.46.0.0/19,1605651
1.48.0.0/14,1814991
1.52.0.0/14,1562822
1.56.0.0/13,1814991
1.64.0.0/15,1819730
1.66.0.0/15,1861060
1.68.0.0/14,1814991
1.72.0.0/13,1861060
1.80.0.0/12,1814991
1.96.0.0/12,1835841
1.112.0.0/14,1861060
1.116.0.0/15,1814991
1.120.0.0/13,2077456
1.160.0.0/13,1668284
1.176.0.0/15,1835841
1.178.0.0/19,2077456
1.178.32.0/20,1880251
1.178.64.0/19,2077456
1.178.112.0/20,6254930
1.178.144.0/20,2077456
1.178.208.0/20,6254930
1.178.224.0/19,2510769
1.179.0.0/19,2077456
1.179.40.0/21,6254930
1.179.48.0/20,2077456
1.179.72.0/21,6254930
1.179.80.0/21,2077456
1.179.88.0/21,6254930
1.179.96.0/20,2077456
1.179.112.0/20,3017382
1.179.128.0/17,1605651
1.180.0.0/14,1814991
1.186.0.0/17,2635167
1.187.0.0/16,1269750
1.188.0.0/14,1814991
1.200.0.0/16,1668284
1.201.0.0/16,1835841
1.202.0.0/15,1814991
1.208.0.0/12,1835841
2.0.0.0/15,2661886
2.3.0.0/16,3017382
2.16.0.0/24,2750405
2.24.0.0/13,2635167
2.32.0.0/12,3175395
2.48.0.0/14,290557
2.52.0.0/14,294640
2.56.0.0/22,617790
2.56.4.0/23,2623032
2.56.8.0/24,6252001
2.56.10.0/24,241170
2.56.11.0/24,6252001
2.56.12.0/22,732800
2.56.16.0/22,290557
2.56.20.0/22,2921044
2.56.24.0/25,2017370
2.56.28.0/22,2661886
2.56.32.0/22,6252001
2.56.36.0/22,99237
2.56.40.0/22,2658434
2.56.44.0/22,3582678
2.56.48.0/22,798549
2.56.52.0/22,732800
2.56.56.0/22,2750405
2.56.60.0/22,298795
2.56.64.0/22,2510769
2.56.68.0/22,798544
2.56.72.0/22,2921044
2.56.80.0/22,3017382
2.56.84.0/24,2635167
2.56.88.0/23,2017370
2.56.92.0/22,3175395
2.56.96.0/22,2921044
2.56.100.0/23,241170
2.56.104.0/22,2960313
2.56.108.0/23,690791
2.56.112.0/24,241170
2.56.116.0/22,146669
2.56.128.0/22,3175395
2.56.132.0/22,2921044
2.56.136.0/24,290557
2.56.140.0/22,146669
2.56.144.0/22,3577718
2.56.148.0/24,798549
2.56.152.0/22,298795
2.56.156.0/22,3017382
2.56.160.0/22,2782113
2.56.164.0/24,6252001
2.56.168.0/24,690791
2.56.169.0/24,2658434
2.56.170.0/24,2921044
2.56.171.0/24,2802361
2.56.172.0/24,146669
2.56.180.0/22,2017370
2.56.184.0/22,597427
2.56.188.0/22,2635167
2.56.192.0/22,2750405
2.56.196.0/22,2635167
2.56.200.0/22,2750405
2.56.204.0/22,174982
2.56.208.0/22,2782113
2.56.212.0/23,146669
2.56.216.0/22,2750405
2.56.220.0/24,2960313
2.56.224.0/22,2750405
2.56.228.0/22,1269750
2.56.232.0/22,2921044
2.56.240.0/23,290557
2.56.244.0/23,2921044
2.56.248.0/24,597427
2.56.252.0/24,2921044
2.56.255.0/24,1880251
2.57.0.0/24,2017370
2.57.1.0/24,2921044
2.57.2.0/24,2510769
2.57.3.0/24,130758
2.57.4.0/22,2510769
2.57.8.0/22,798544
2.57.12.0/22,2750405
2.57.16.0/24,290557
2.57.24.0/22,2963597
2.57.28.0/23,6252001
2.57.32.0/22,3175395
2.57.36.0/24,2017370
2.57.40.0/22,2802361
2.57.44.0/22,2635167
2.57.48.0/22,2782113
2.57.52.0/22,2017370
2.57.56.0/24,2750405
2.57.60.0/22,614540
2.57.64.0/22,3057568
2.57.68.0/22,6252001
2.57.72.0/22,3017382
2.57.76.0/22,6252001
2.57.80.0/22,2017370
2.57.84.0/22,3175395
2.57.88.0/23,146669
2.57.92.0/22,2921044
2.57.96.0/22,1522867
2.57.100.0/22,2510769
2.57.104.0/22,2782113
2.57.108.0/22,2510769
2.57.112.0/22,2017370
2.57.116.0/22,2921044
2.57.120.0/24,798549
2.57.124.0/22,1605651
2.57.128.0/22,2510769
2.57.132.0/22,798544
2.57.140.0/22,3017382
2.57.144.0/22,2921044
2.57.148.0/24,290557
2.57.152.0/22,617790
2.57.156.0/22,2782113
2.57.160.0/22,2921044
2.57.164.0/22,6252001
2.57.168.0/24,2750405
2.57.172.0/22,2960313
2.57.176.0/22,597427
2.57.180.0/22,2782113
2.57.184.0/22,2017370
2.57.188.0/22,298795
2.57.192.0/22,2510769
2.57.196.0/22,2635167
2.57.204.0/22,690791
2.57.208.0/22,798544
2.57.212.0/23,298795
2.57.214.0/24,241170
2.57.216.0/22,614540
2.57.220.0/22,453733
2.57.224.0/22,2510769
2.57.228.0/22,294640
2.57.232.0/22,6252001
2.57.236.0/24,597427
2.57.237.0/24,2635167
2.57.238.0/24,298795
2.57.239.0/24,2750405
2.57.240.0/22,290557
2.57.244.0/22,2661886
2.57.248.0/22,6252001
2.57.252.0/24,2782113
2.58.0.0/22,2661886
2.58.4.0/22,2635167
2.58.8.0/22,2411586
2.58.12.0/23,2921044
2.58.16.0/22,458258
2.58.20.0/22,2750405
